,demand_forecast
2023-01-01 00:00:00,6803.5156
2023-01-01 01:00:00,6577.5635
2023-01-01 02:00:00,6327.264
2023-01-01 03:00:00,6158.29
2023-01-01 04:00:00,6098.4136
2023-01-01 05:00:00,6051.4087
2023-01-01 06:00:00,6175.5273
2023-01-01 07:00:00,6360.9893
2023-01-01 08:00:00,6810.1733
2023-01-01 09:00:00,7401.05
2023-01-01 10:00:00,7714.334
2023-01-01 11:00:00,8087.8237
2023-01-01 12:00:00,8432.886
2023-01-01 13:00:00,8300.992
2023-01-01 14:00:00,7988.267
2023-01-01 15:00:00,7981.182
2023-01-01 16:00:00,8128.018
2023-01-01 17:00:00,8669.962
2023-01-01 18:00:00,8893.178
2023-01-01 19:00:00,8903.942
2023-01-01 20:00:00,8452.221
2023-01-01 21:00:00,8253.745
2023-01-01 22:00:00,8136.31
2023-01-01 23:00:00,7872.5044
2023-01-02 00:00:00,7355.9927
2023-01-02 01:00:00,7108.9053
2023-01-02 02:00:00,7017.687
2023-01-02 03:00:00,7048.421
2023-01-02 04:00:00,7187.6235
2023-01-02 05:00:00,7800.1846
2023-01-02 06:00:00,9230.417
2023-01-02 07:00:00,9840.702
2023-01-02 08:00:00,9783.806
2023-01-02 09:00:00,10257.597
2023-01-02 10:00:00,10751.102
2023-01-02 11:00:00,11224.763
2023-01-02 12:00:00,11533.324
2023-01-02 13:00:00,11075.808
2023-01-02 14:00:00,10912.638
2023-01-02 15:00:00,10670.499
2023-01-02 16:00:00,10894.912
2023-01-02 17:00:00,11233.706
2023-01-02 18:00:00,11414.33
2023-01-02 19:00:00,11385.748
2023-01-02 20:00:00,10467.945
2023-01-02 21:00:00,9783.58
2023-01-02 22:00:00,9267.287
2023-01-02 23:00:00,8795.091
2023-01-03 00:00:00,8484.109
2023-01-03 01:00:00,8294.154
2023-01-03 02:00:00,8210.803
2023-01-03 03:00:00,8239.983
2023-01-03 04:00:00,8451.313
2023-01-03 05:00:00,9062.09
2023-01-03 06:00:00,10224.491
2023-01-03 07:00:00,10541.039
2023-01-03 08:00:00,10642.438
2023-01-03 09:00:00,11685.808
2023-01-03 10:00:00,11664.419
2023-01-03 11:00:00,11892.796
2023-01-03 12:00:00,12036.689
2023-01-03 13:00:00,11654.304
2023-01-03 14:00:00,11671.331
2023-01-03 15:00:00,11955.474
2023-01-03 16:00:00,11683.252
2023-01-03 17:00:00,11526.194
2023-01-03 18:00:00,11678.851
2023-01-03 19:00:00,11603.824
2023-01-03 20:00:00,11297.759
2023-01-03 21:00:00,10380.618
2023-01-03 22:00:00,9888.986
2023-01-03 23:00:00,9238.19
2023-01-04 00:00:00,8806.344
2023-01-04 01:00:00,8206.015
2023-01-04 02:00:00,8249.112
2023-01-04 03:00:00,8204.166
2023-01-04 04:00:00,8499.497
2023-01-04 05:00:00,8811.842
2023-01-04 06:00:00,10237.286
2023-01-04 07:00:00,10771.34
2023-01-04 08:00:00,10950.318
2023-01-04 09:00:00,11505.677
2023-01-04 10:00:00,11664.568
2023-01-04 11:00:00,11851.465
2023-01-04 12:00:00,11772.615
2023-01-04 13:00:00,11600.353
2023-01-04 14:00:00,11429.217
2023-01-04 15:00:00,11312.399
2023-01-04 16:00:00,11235.444
2023-01-04 17:00:00,11437.594
2023-01-04 18:00:00,11474.966
2023-01-04 19:00:00,11265.559
2023-01-04 20:00:00,10785.159
2023-01-04 21:00:00,10450.217
2023-01-04 22:00:00,9753.791
2023-01-04 23:00:00,9101.069
2023-01-05 00:00:00,8887.666
2023-01-05 01:00:00,8676.447
2023-01-05 02:00:00,8543.914
2023-01-05 03:00:00,8569.78
